"date","Open","High","Low","Close","Volume","Adjusted"
2017-02-22,183.399994,186.119995,183.080002,186.039993,2850900,164.869385
2017-02-23,185.910004,187.460007,185.710007,187.190002,2401600,165.888519
2017-02-24,186.820007,188.410004,186.300003,187.410004,2126300,166.083481
2017-02-27,187.5,187.550003,186.380005,186.910004,1393800,165.640396
2017-02-28,186.729996,187.5,186.309998,186.350006,1932100,165.144135
2017-03-01,188.080002,190.539993,188.009995,189.860001,2226200,168.2547
2017-03-02,189.460007,190.100006,189.029999,189.889999,1764000,168.281281
2017-03-03,189.889999,190.240005,188.539993,189.309998,1627400,167.767303
2017-03-06,188.929993,189.240005,188.270004,188.899994,1668700,167.403976
2017-03-07,188.289993,189.259995,188.25,189.089996,1662300,167.572327
2017-03-08,189.720001,190.210007,188.970001,189.509995,1563700,167.944534
2017-03-09,189.25,190.389999,189.169998,189.899994,1556700,168.290146
2017-03-10,190.639999,191.240005,190.029999,191.210007,2515000,169.451096
2017-03-13,191.770004,191.960007,190.460007,191.520004,1972700,169.725815
2017-03-14,190.929993,191.440002,189.110001,190.330002,1893600,168.671204
2017-03-15,190.179993,191.860001,189.720001,191.199997,2047000,169.44223
2017-03-16,191.059998,191.639999,189.639999,190.309998,1937100,168.653503
2017-03-17,190.820007,192.360001,190.350006,192.360001,4228100,170.47023
2017-03-20,192.520004,193.5,192.279999,193.009995,2085600,171.046249
2017-03-21,193.490005,193.490005,191.509995,192.130005,1895100,170.266388
2017-03-22,192.300003,192.880005,190.460007,192.220001,1627300,170.34613
2017-03-23,192.119995,192.970001,191.229996,192.139999,1482000,170.275269
2017-03-24,192.119995,192.619995,190.899994,191.509995,1435400,169.716873
2017-03-27,190.699997,191,189.160004,190.429993,1984600,168.759842
2017-03-28,189.940002,191.490005,189.600006,190.990005,2330200,169.256104
2017-03-29,190.589996,191.279999,190.259995,190.679993,1692200,168.981369
2017-03-30,190.740005,191.490005,190.100006,191.279999,1835400,169.513123
2017-03-31,191.300003,192.399994,190.990005,191.330002,1730000,169.557419
2017-04-03,191.869995,192.169998,189.949997,190.720001,1546700,169.016846
2017-04-04,190.570007,190.979996,189.779999,190.190002,1349900,168.547165
2017-04-05,190.699997,192.419998,190.039993,190.240005,1448700,168.591431
2017-04-06,190.410004,191.020004,189.5,189.889999,1627400,168.281281
2017-04-07,190.029999,190.559998,189.520004,189.990005,1025200,168.369919
2017-04-10,190.160004,190.520004,189.309998,189.710007,1682700,168.12178
2017-04-11,189.130005,190.089996,188.990005,190.070007,1459600,168.440796
2017-04-12,190.309998,190.490005,189.399994,189.699997,1416100,168.1129
2017-04-13,189.25,189.860001,188.619995,188.649994,1274400,167.182404
2017-04-17,189.309998,190.360001,189.289993,190.360001,1543600,168.6978
2017-04-18,189.759995,190.839996,189.509995,190.220001,1176900,168.57373
2017-04-19,190.800003,191.130005,189.520004,189.830002,1340400,168.228073
2017-04-20,190.020004,192.110001,189.899994,191.160004,1748200,169.406784
2017-04-21,191.149994,191.619995,190.589996,191.5,2584200,169.708069
2017-04-24,193,194.449997,192.929993,194.229996,2709600,172.127426
2017-04-25,193.990005,195.610001,192.360001,195.130005,4182200,172.925018
2017-04-26,195.699997,196.899994,194.990005,195,2641200,172.809769
